ID,Posición,Area,Á.liq.,Grupo de personal,CODIGO POSTAL,Motivo de la RENUNCIA,Tipo de Baja,Banda,Baja,ReglaPHT,Alta,Antigüedad Clas,Antigüedad,Clave de sexo,Lugar de nacimiento,Clasificacion L. N,Edad del empleado,¿Cuanto tiempo tiene viviendo en Cd. Juarez?,Estado Civil,Hijos
1,POS514,LOG,S6,Exempt,32520,Vol-Otro empleo,Voluntario,E3,02/01/2023,ADMINIST,21/06/2018,4 - 5 Años,1656,Femenino,JUAREZ,CIUDAD ,31,Menos de un año,Soltero,0
2,POS1745,MFS,S5,Direct,32217,Vol-Otro empleo,Voluntario,DNO,03/01/2023,ADMINIST,20/07/2017,6 - 10 Años,1993,Masculino,DURANGO,PAIS,25,10+ Years,Soltero,0
3,POS1230,VS7,S5,Direct,32600,Vol-Otro empleo,Voluntario,DNO,03/01/2023,JT012324,29/08/2019,4 - 5 Años,1223,Masculino,JUAREZ,CIUDAD ,23,10+ Years,Soltero,0
4,POS1661,MFS,S5,Direct,32575,Vol-Estudios,Voluntario,DO,03/01/2023,JT012324,03/11/2022,1 - 3 Años,61,Femenino,CIUDAD JUAREZ,CIUDAD ,18,10+ Years,Soltero,0
5,POS1921,MFS,S5,Direct,32575,Vol-Cambio de domicilio,Voluntario,DO,03/01/2023,JT012324,02/03/2017,6 - 10 Años,2133,Masculino,JUAREZ,CIUDAD ,26,10+ Years,Soltero,0
6,POS2803,VS1,S5,Direct,32600,Vol-Otro empleo,Voluntario,DNO,03/01/2023,JF050600,06/09/2018,4 - 5 Años,1580,Masculino,JUANACATLAN,PAIS,38,10+ Years,Casado,3
7,POS538,VS9-ABS,S5,Direct,32575,Vol-Estudios,Voluntario,DO,03/01/2023,JF060600,09/01/2020,1 - 3 Años,1090,Femenino,JUAREZ,CIUDAD ,21,Menos de un año,Soltero,0
8,POS1380,MFS,S5,Direct,32575,Vol-Otro empleo,Voluntario,DO,03/01/2023,JF060600,17/12/2020,1 - 3 Años,747,Femenino,JUAREZ,CIUDAD ,27,10+ Years,Soltero,1
9,POS2094,TEF,S5,Direct,32674,Vol-Otro empleo,Voluntario,DNO,03/01/2023,ADMINIST,05/03/2020,1 - 3 Años,1034,Masculino,CHIHUAHUA,ESTADO,25,10+ Years,Soltero,0
10,POS1921,MFS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,03/01/2023,JS011500,16/01/2020,1 - 3 Años,1083,Femenino,JUAREZ,CIUDAD ,32,10+ Years,Soltero,0
